latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
22.0053,74.55013,341.48,0.35,0.57,2023-05-15,736,N,VIIRS,n,2,307.65,2.61,D,0
22.5087,84.89117,301.96,0.39,0.36,2023-03-07,1958,N,VIIRS,n,2,288.51,0.26,N,0
18.90954,78.71101,300.31,0.44,0.46,2023-02-03,1959,N,VIIRS,n,2,289.67,0.91,N,0
24.44152,92.74713,341.04,0.53,0.5,2023-04-08,730,N,VIIRS,n,2,305.09,3.55,D,0
21.16172,84.61019,350.06,0.53,0.42,2023-04-14,717,N,VIIRS,n,2,306.49,7.62,D,0
20.9433,85.00505,313.35,0.39,0.36,2023-05-31,2005,N,VIIRS,n,2,283.71,1.78,N,0
17.53611,82.36656,307.58,0.4,0.44,2023-03-13,1947,N,VIIRS,n,2,293.01,1.05,N,0
21.18309,81.38609,310.49,0.48,0.4,2023-02-28,2030,N,VIIRS,n,2,297.04,1.87,N,3
22.47007,86.31868,305.64,0.33,0.55,2023-02-21,1920,N,VIIRS,n,2,294.0,1.48,N,0
20.96436,85.1553,303.18,0.53,0.42,2023-01-01,2017,N,VIIRS,n,2,290.88,1.29,N,2
21.3791,81.67973,298.36,0.5,0.41,2023-12-13,2028,N,VIIRS,n,2,281.84,0.81,N,2
22.7912,78.48412,308.17,0.32,0.55,2023-04-03,1952,N,VIIRS,n,2,288.39,0.55,N,0
23.79399,86.35269,342.39,0.41,0.37,2023-10-07,716,N,VIIRS,n,2,299.18,3.65,D,2
23.6632,86.9173,302.83,0.39,0.36,2023-11-18,1956,N,VIIRS,n,2,292.33,1.74,N,2
23.87978,92.44144,350.44,0.39,0.36,2023-03-14,658,N,VIIRS,n,2,320.12,25.13,D,0
23.1882,80.22643,307.79,0.5,0.41,2023-03-12,2004,N,VIIRS,n,2,292.01,1.95,N,0
21.55521,73.76039,334.18,0.41,0.45,2023-05-30,755,N,VIIRS,l,2,305.1,1.74,D,0
24.88273,80.3982,350.04,0.55,0.42,2023-04-06,809,N,VIIRS,n,2,310.73,8.94,D,0
19.72367,79.17469,312.54,0.38,0.44,2023-04-11,2044,N,VIIRS,n,2,297.76,2.3,N,2
20.96428,85.17625,341.06,0.4,0.44,2023-04-28,755,N,VIIRS,n,2,306.65,4.92,D,2
25.76281,91.02576,331.78,0.53,0.67,2023-03-27,756,N,VIIRS,n,2,291.62,7.1,D,0
19.66765,81.6504,332.64,0.45,0.39,2023-03-12,735,N,VIIRS,l,2,305.42,3.28,D,0
22.92677,83.47548,333.63,0.43,0.38,2023-02-18,748,N,VIIRS,n,2,302.64,5.69,D,0
14.96994,78.74079,332.4,0.41,0.45,2023-03-01,740,N,VIIRS,l,2,303.6,4.54,D,0
22.34421,69.87174,321.47,0.69,0.74,2023-11-17,2157,N,VIIRS,n,2,290.72,4.37,N,0
22.73499,69.66246,338.02,0.58,0.52,2023-01-27,2030,N,VIIRS,n,2,289.4,3.21,N,3
31.89927,75.19519,332.16,0.4,0.37,2023-10-31,809,N,VIIRS,n,2,299.99,1.43,D,0
20.90806,71.46096,307.95,0.57,0.43,2023-06-07,2114,N,VIIRS,n,2,296.69,1.49,N,2
31.29547,74.63561,340.28,0.47,0.4,2023-05-09,751,N,VIIRS,l,2,314.23,3.54,D,0
20.8063,85.25741,305.06,0.57,0.69,2023-11-26,1907,N,VIIRS,n,2,288.71,1.82,N,2
26.50627,83.54338,355.81,0.49,0.49,2023-04-20,706,N,VIIRS,n,2,314.13,5.89,D,0
